"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.287430167E0,1.886755573E0,4.076582274E0,-2.295903963E0,5.044754170E0
1.297479167E0,3.742955351E0,8.898620224E-1,-7.095067606E0,8.071031750E0
1.307529167E0,5.393302149E0,-4.485951689E0,-1.100495453E1,1.305068944E1
1.317578167E0,5.998080833E0,-1.088900658E1,-1.212757199E1,1.736736711E1
1.327628167E0,5.009057634E0,-1.614125752E1,-1.004604508E1,1.966097338E1
1.337677167E0,1.500384719E0,-1.595314791E1,-8.203559945E0,1.800145768E1
1.347727167E0,-2.286703954E0,-9.982046134E0,-8.095098773E0,1.305376896E1
1.357776167E0,-3.268463157E0,-3.637509588E0,-7.580742016E0,9.021195981E0
1.367826167E0,-2.947641344E0,1.379006170E0,-5.155202942E0,6.096422302E0
1.377875167E0,-2.157215025E0,5.050793306E0,1.024288926E0,5.586882627E0
1.387925167E0,-1.928748083E0,6.834083567E0,3.068576967E0,7.735692081E0
1.397975167E0,-3.042557734E0,7.803634368E0,-5.265903014E0,9.893614176E0
1.408024167E0,-3.864675378E0,6.359594296E0,-1.199870637E1,1.411910443E1
1.418074167E0,-3.820986444E0,5.065899003E-1,-4.507829046E0,5.931028026E0
1.428123167E0,-2.965748709E0,-6.280701324E0,7.888231300E0,1.051033147E1
1.438173167E0,-5.705073348E0,-1.690596340E1,1.656074730E-1,1.784339895E1
1.448222167E0,-4.625438772E0,-2.161566172E1,8.103826911E0,2.354365150E1
1.458272167E0,-3.713123442E0,-9.852109308E0,2.015671359E1,2.274081015E1
1.468321167E0,-5.040513316E0,1.238984066E-1,1.214780102E1,1.315261171E1
1.478371167E0,-3.576818413E0,7.019569527E0,1.786575812E0,8.078356234E0
1.488420167E0,4.288156829E-1,1.154745569E1,1.337646767E0,1.163257988E1
1.498470167E0,2.462677079E0,1.188176206E1,6.152840259E0,1.360509064E1
1.508519167E0,1.160156583E0,8.718466925E0,7.982959117E0,1.187793185E1
1.518569167E0,-9.268573558E-1,4.261873521E0,7.486069747E0,8.663940831E0
1.528618167E0,-1.077894371E0,7.079089504E-1,6.120063107E0,6.254451518E0
1.538668167E0,-7.897367135E-1,-2.826438797E0,4.545505873E0,5.410551172E0
1.548717167E0,-9.991066488E-1,-5.299294708E0,4.275301652E0,6.881783397E0
1.558767167E0,-1.290996073E0,-6.364149862E0,5.087240170E0,8.249187043E0
1.568817167E0,-1.405112818E0,-6.280287926E0,5.701435211E0,8.597832397E0
1.578866167E0,-1.185497684E0,-5.667863422E0,5.157936516E0,7.754636654E0
1.588916167E0,-7.226540203E-1,-5.262055546E0,3.723948977E0,6.486852348E0
1.598965167E0,-3.035318881E-2,-4.916713727E0,1.578048899E0,5.163839029E0
1.609015167E0,4.933598439E-1,-3.567495613E0,-3.070231875E-1,3.614511325E0
1.619064167E0,7.817785800E-1,-1.450221748E0,-1.248267106E0,2.067000637E0
1.629114167E0,6.596600658E-1,5.270089620E-1,-1.210455501E0,1.475836159E0
1.639163167E0,6.632508409E-1,2.360012251E0,-8.434333760E-1,2.592477457E0
1.649213167E0,7.160764875E-1,4.087973235E0,-5.642200943E-1,4.188392892E0
1.659262167E0,6.339431342E-1,5.143843557E0,2.062225252E-1,5.186862073E0
