"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.360287625E0,2.507833079E0,-3.944470868E1,-9.341036640E-2,3.952446072E1
1.370338625E0,5.607273404E0,-4.280762016E1,-2.522813938E0,4.324694728E1
1.380388625E0,5.583376418E0,-3.762673683E1,2.492144122E0,3.812028592E1
1.390439625E0,4.935521881E0,-2.586191674E1,6.700492231E0,2.716789852E1
1.400490625E0,4.968039417E0,-1.541020470E1,7.785121499E0,1.796563223E1
1.410541625E0,5.716835023E0,-6.399951779E0,5.450020140E0,1.016584010E1
1.420591625E0,5.343333598E0,-1.032596065E0,8.861040169E-1,5.513859710E0
1.430642625E0,3.256828952E0,1.563096984E0,-1.841953914E0,4.054997069E0
1.440693625E0,5.417433608E-1,2.706993629E0,-3.343663028E-1,2.780845411E0
1.450744625E0,-1.607613591E0,3.478910880E0,3.204496956E0,4.995602377E0
1.460795625E0,-2.930946374E0,4.753746564E0,7.972523591E0,9.733945010E0
1.470845625E0,-4.539759521E0,6.091780125E0,1.072515474E1,1.314336889E1
1.480896625E0,-6.659100376E0,7.780876420E0,1.018276818E1,1.444210593E1
1.490947625E0,-1.003004827E1,1.003219887E1,5.315577450E0,1.514933154E1
1.500998625E0,-1.269827895E1,1.277100662E1,2.956831706E0,1.825069182E1
1.511049625E0,-1.418468795E1,1.616695837E1,3.469177020E0,2.178557101E1
1.521099625E0,-1.235591980E1,1.959838401E1,5.055038384E0,2.371326260E1
1.531150625E0,-8.217793238E0,2.043902184E1,6.752359958E0,2.304083558E1
1.541201625E0,-5.766801819E0,1.765839714E1,7.712924758E0,2.011378137E1
1.551252625E0,-4.767562366E0,1.517508933E1,8.738174965E0,1.814851754E1
1.561302625E0,-4.765717277E0,1.406312199E1,9.922831382E0,1.785906056E1
1.571353625E0,-5.333935953E0,1.392971894E1,9.795687186E0,1.784498333E1
1.581404625E0,-6.280147592E0,1.421630384E1,8.654741045E0,1.778898792E1
1.591455625E0,-6.838136272E0,1.317355233E1,9.559283672E0,1.765453180E1
1.601506625E0,-6.618378028E0,1.053173937E1,1.034774503E1,1.618012018E1
1.611556625E0,-5.381860317E0,8.123916775E0,9.516144669E0,1.362055262E1
1.621607625E0,-3.464221213E0,5.449891502E0,8.997783154E0,1.107529899E1
1.631661958E0,-1.133082366E0,1.414118700E0,8.364616238E0,8.558645463E0
1.641712958E0,1.200337918E0,-6.220562126E0,5.404920566E0,8.327626949E0
1.651763958E0,3.583573994E0,-1.583653923E1,-9.012218760E0,1.857035445E1
1.661813958E0,8.509312021E0,-1.965941959E1,-2.890386987E1,3.597686567E1
1.671864958E0,9.708573028E0,-1.130865541E1,-2.234720921E1,2.686149357E1
1.681915958E0,5.465823995E0,1.957354270E0,7.979690523E0,9.868228236E0
1.691966958E0,-4.636201742E-1,1.078108920E1,2.064486955E1,2.329500949E1
1.702016958E0,-8.417884372E0,1.277847000E1,2.228734541E1,2.703471543E1
1.712067958E0,-1.221702737E1,6.027625644E0,1.629519015E1,2.123961513E1
1.722118958E0,-5.813443889E0,-5.170527910E0,5.337930186E0,9.435252375E0
1.732169958E0,-4.563486938E0,-9.097959992E0,6.026837440E0,1.182882321E1
1.742220958E0,-6.235716940E0,-8.475502251E0,-1.221988330E0,1.059299578E1
1.752270958E0,-8.337741265E0,-2.430260115E0,-2.749883541E0,9.109662624E0
1.762321958E0,-9.515439495E0,6.591566205E-2,-5.656732078E0,1.107007459E1
